Coad_DDI_fem	Coad_fem	Two_or_more_fem	At_least_1_fem	Coad_DDI_mal	Coad_mal	Two_or_more_mal	At_least_1_mal
Age_0_4	135	50358	60637	71685	173	55188	65801	77164
Age_10_14	1258	158470	199327	247714	1321	170704	211183	262397
Age_15_19	9846	216676	253242	299495	2977	191108	226587	285237
Age_20_24	16666	266673	308223	358201	4761	203189	237580	299767
Age_25_29	20581	331131	384290	450100	8194	254367	295281	372024
Age_30_34	28515	406216	469025	544167	15023	334387	383574	473650
Age_35_39	39250	451836	513309	588178	24103	395566	448468	542223
Age_40_44	47593	443874	497516	568773	32373	396963	446531	535615
Age_45_49	58005	425416	469300	529178	41040	374612	415887	491139
Age_50_54	69767	420964	455653	503043	50872	362176	394723	454444
Age_55_59	81815	412813	438877	476217	60747	356189	380985	425940
Age_5_9	504	118755	143669	169167	586	125745	150985	177693
Age_60_64	94696	413234	431616	458776	74232	363274	380712	411652
Age_65_69	100692	392173	403478	421250	82486	348638	358889	377645
Age_70_74	101200	369974	377903	391378	82923	318599	325198	338428
Age_75_79	104404	342562	347998	357348	79991	272404	276781	284960
Age_80_84	104511	308125	311474	318234	71559	214632	217188	222297
Age_85_89	86086	245370	247798	252813	48681	143102	144654	147780
Age_90_94	46368	137182	138547	141544	20263	62930	63597	65076
Age_95_99	14393	49102	49703	51014	4680	16699	16884	17380
Age_>99	2267	9194	9315	9664	519	2206	2239	2329
