ATC	Name	DrugBankID	ChemicalSubgroups	PharmacologicalSubgroup	TherapeuticSubgroup	Dispensations	WomenDispensations	MenDispensations	NameSource	IDSource
A01AB09	Miconazole	DB01110	Antiinfectives and antiseptics for local oral treatment	Stomatological preparations	Stomatological preparations	103614	66414	37200	DrugBank	DrugBank
A01AB92			Antiinfectives and antiseptics for local oral treatment	Stomatological preparations	Stomatological preparations	49	29	20		
A01AC53			Corticosteroids for local oral treatment	Stomatological preparations	Stomatological preparations	1	0	1		
A01AD92			Other agents for local oral treatment	Stomatological preparations	Stomatological preparations	20290	12477	7813		
A02AB02	Algeldrate	DB06723	Aluminium compounds	Antacids	Drugs for acid related disorders	1481	699	782	DrugBank-corrected	DrugBank
A02AD01	Ordinary salt combinations		Combinations and complexes of aluminium, calcium and magnesium compounds	Antacids	Drugs for acid related disorders	6364	3617	2747	WHOCC	
A02AD02	Magaldrate	DB08938	Combinations and complexes of aluminium, calcium and magnesium compounds	Antacids	Drugs for acid related disorders	13326	8243	5083	DrugBank	DrugBank
A02AD03	Almagate	DB06723	Combinations and complexes of aluminium, calcium and magnesium compounds	Antacids	Drugs for acid related disorders	366789	230186	136603	DrugBank-corrected	DrugBank
A02AD05	Almasilate	DB13595	Combinations and complexes of aluminium, calcium and magnesium compounds	Antacids	Drugs for acid related disorders	16	10	6	DrugBank	DrugBank
A02AX91			Antacids, other combinations	Antacids	Drugs for acid related disorders	979	571	408		
A02BA01	Cimetidine	DB00501	H2-receptor antagonists	Drugs for peptic ulcer and gastro-oesophageal reflux diseases (gord)	Drugs for acid related disorders	1142	667	475	DrugBank	DrugBank
A02BA02	Ranitidine	DB00863	H2-receptor antagonists	Drugs for peptic ulcer and gastro-oesophageal reflux diseases (gord)	Drugs for acid related disorders	291770	180385	111385	DrugBank	DrugBank
A02BA03	Famotidine	DB00927	H2-receptor antagonists	Drugs for peptic ulcer and gastro-oesophageal reflux diseases (gord)	Drugs for acid related disorders	7441	3986	3455	DrugBank	DrugBank
A02BA04	Nizatidine	DB00585	H2-receptor antagonists	Drugs for peptic ulcer and gastro-oesophageal reflux diseases (gord)	Drugs for acid related disorders	20	8	12	DrugBank	DrugBank
A02BA06	Roxatidine acetate	DB08806	H2-receptor antagonists	Drugs for peptic ulcer and gastro-oesophageal reflux diseases (gord)	Drugs for acid related disorders	33	19	14	DrugBank	DrugBank
A02BB01	Misoprostol	DB00929	Prostaglandins	Drugs for peptic ulcer and gastro-oesophageal reflux diseases (gord)	Drugs for acid related disorders	3324	2940	384	DrugBank	DrugBank
