Coad_DDI_fem	Coad_fem	Two_or_more_fem	At_least_1_fem	Coad_DDI_mal	Coad_mal	Two_or_more_mal	At_least_1_mal
00-04	135	50358	60637	71685	173	55188	65801	77164
05-09	504	118755	143669	169167	586	125745	150985	177693
10-14	1258	158470	199327	247714	1321	170704	211183	262397
15-19	9846	216676	253242	299495	2977	191108	226587	285237
20-24	16666	266673	308223	358201	4761	203189	237580	299767
25-29	20581	331131	384290	450100	8194	254367	295281	372024
30-34	28515	406216	469025	544167	15023	334387	383574	473650
35-39	39250	451836	513309	588178	24103	395566	448468	542223
40-44	47593	443874	497516	568773	32373	396963	446531	535615
45-49	58005	425416	469300	529178	41040	374612	415887	491139
50-54	69767	420964	455653	503043	50872	362176	394723	454444
55-59	81815	412813	438877	476217	60747	356189	380985	425940
60-64	94696	413234	431616	458776	74232	363274	380712	411652
65-69	100692	392173	403478	421250	82486	348638	358889	377645
70-74	101200	369974	377903	391378	82923	318599	325198	338428
75-79	104404	342562	347998	357348	79991	272404	276781	284960
80-84	104511	308125	311474	318234	71559	214632	217188	222297
85-89	86086	245370	247798	252813	48681	143102	144654	147780
90-94	0	0	0	0	0	0	0	0
95-99	0	0	0	0	0	0	0	0
>99	54054	147909	149167	151966	22586	66031	66647	68029
