Gamma.1	Gamma.2	Npats	Duration	Drug.1	Drug.2
0.09	0.46	 36441	7.68+-9.58	Digoxin	Furosemide
0.11	0.36	 21954	6.79+-9.25	Amiodarone	Acenocoumarol
0.22	0.12	  3176	15.15+-21.03	Mesalazine	Azathioprine
0.26	0.1	253473	4.03+-9.09	Omeprazole	Diazepam
0.29	0.06	167507	9.83+-17.41	Omeprazole	Alprazolam
0.12	0.13	 10201	6.57+-8.3	Digoxin	Spironolactone
0.28	0.05	 36543	14.44+-18.46	Acetylsalicylic acid	Gliclazide
0.5	0.03	 98427	7.32+-10.67	Acetaminophen	Acenocoumarol
0.05	0.24	  6577	7.17+-7.58	Rivastigmine	Quetiapine
0.22	0.05	  4550	3.25+-4.92	Trimethoprim	Leucovorin
0.31	0.03	 22535	10.83+-14.33	Acetylsalicylic acid	Glyburide
0.1	0.1	 18923	10.36+-13.47	Allopurinol	Acenocoumarol
0.17	0.05	  3437	14.04+-20.58	Haloperidol	Biperiden
0.04	0.18	  5690	9.42+-10.75	Donepezil	Quetiapine
0.16	0.05	  4958	6.53+-8.07	Risperidone	Donepezil
0.04	0.19	133691	3.03+-5.5	Acetylsalicylic acid	Ibuprofen
0.09	0.08	  6134	9.65+-12.51	Digoxin	Carvedilol
0.37	0.02	 47811	7.47+-13.05	Omeprazole	Clonazepam
0.28	0.02	 16312	12.71+-18.99	Acetylsalicylic acid	Insulin Aspart
0.09	0.06	  7022	11.69+-14.02	Pravastatin	Fenofibrate
0.13	0.04	  4369	8.74+-12.36	Indomethacin	Methotrexate
0.1	0.05	  1618	7.83+-10.39	Methotrexate	Hydroxychloroquine
0.07	0.07	 49297	3.66+-7.8	Prednisone	Acetylsalicylic acid
0.15	0.03	  4027	6.2+-6.82	Trazodone	Rivastigmine
0.32	0.01	  9894	11.95+-16.98	Acetylsalicylic acid	Insulin Detemir
0.13	0.03	  4164	8.65+-10.05	Trazodone	Donepezil
0.02	0.18	  2495	6.59+-7.89	Galantamine	Risperidone
0.07	0.06	  4526	4.35+-6.35	Digoxin	Amiodarone
0.04	0.12	  2218	5.51+-7.81	Warfarin	Amiodarone
0.02	0.2	 17416	7.3+-10.87	Spironolactone	Enalapril
0.54	0.01	 18918	12.32+-16.26	Omeprazole	Methotrexate
0.02	0.19	  2588	10.08+-11.45	Galantamine	Quetiapine
0.11	0.03	 22193	5.76+-10.97	Acetylsalicylic acid	Acenocoumarol
0.05	0.07	  1845	24.76+-29.02	Carbamazepine	Levetiracetam
0.09	0.04	 11797	11.57+-14.18	Bisoprolol	Gliclazide
0.02	0.14	  8863	17.32+-22.71	Diltiazem	Atorvastatin
0.02	0.12	  9217	14.94+-20.53	Fenofibrate	Atorvastatin
0.01	0.23	 43869	3.42+-5.38	Alendronic acid	Ibuprofen
0.01	0.19	 12317	17.7+-23.3	Diltiazem	Simvastatin
0.09	0.03	    41	4+-5.52	Entacapone	Apomorphine
0.07	0.03	 13841	1.51+-1.35	Levofloxacin	Acenocoumarol
0.06	0.04	 11065	9.08+-10.5	Levothyroxine	Acenocoumarol
