Drug1	Drug2	Tau	Color	RRI_female	RRI_male	Co.disp.females	Co.disp.males	D1.females	D1.males	D2.females	D2.males
DB00091	DB00175	0.343604057617217	male	0.372970651899933	2.68117610569611	63	157	3416	4013	60665	52612
DB00091	DB00196	0.293109199642983	male	0.614985383297466	1.62605490660305	88	133	3416	4013	133770	62436
DB00091	DB00199	0.0869427397961428	female	1.04564986336231	0.956343069547656	9	8	3416	4013	50846	30787
DB00091	DB00207	0.0948300638963971	male	0.750095808415849	1.33316302901616	184	228	3416	4013	536563	384225
DB00091	DB00208	0.380914991981985	male	0.619644363473962	1.61382892986167	2	3	3416	4013	873	1170
DB00091	DB00222	0.132228553635028	female	1.06224748024108	0.941400209085974	8	7	3416	4013	16811	19859
DB00091	DB00227	0.175294886672618	male	0.760472627899863	1.31497172062803	9	11	3416	4013	18070	11719
DB00091	DB00252	0.251814774514548	male	0.557679927126566	1.79314325540185	6	10	3416	4013	4475	5491
DB00091	DB00328	0.165213397233595	male	0.484097158964033	2.06570103022294	25	48	3416	4013	49052	51521
DB00091	DB00338	0.258887792487887	male	0.762196021177781	1.31199845212358	1367	1667	3416	4013	1460416	1180390
DB00091	DB00339	0.0481646825396825	male	0.232366636302736	4.30354381296445	1	4	3416	4013	1566	2280
DB00091	DB00343	0.27199229721705	male	0.713311534696771	1.40191199967781	33	43	3416	4013	34261	31144
DB00091	DB00359	0.0207264957264957	female	Inf	0	2	0	3416	4013	146	148
DB00091	DB00390	0.10831260356545	male	0.49873814621075	2.00506018558571	22	41	3416	4013	47622	32281
DB00091	DB00422	0.150371378120345	female	1.23928872694792	0.806914464930835	12	9	3416	4013	15785	29278
DB00091	DB00437	0.241528385098202	male	0.313600501026457	3.18877041563029	166	492	3416	4013	51630	141437
DB00091	DB00461	0.0899939200755898	male	0.619644363473962	1.61382892986167	4	6	3416	4013	12064	5326
DB00091	DB00469	0.25	female	Inf	0	1	0	3416	4013	1944	1107
DB00091	DB00472	0.209351879655396	female	1.65976168787669	0.602496133815023	75	42	3416	4013	136253	50073
DB00091	DB00537	0.122878242551371	male	0.590054604544026	1.69475840422051	226	356	3416	4013	375081	372733
DB00091	DB00554	0.0541729323308271	male	0.185893309042189	5.37942976620556	1	5	3416	4013	5357	2846
DB00091	DB00563	0.148142363733847	male	0.929466545210944	1.07588595324111	97	97	3416	4013	21030	13712
DB00091	DB00564	0.129682783355597	male	0.929466545210944	1.07588595324111	13	13	3416	4013	15517	12348
DB00091	DB00586	0.103564326970258	male	0.567336722401485	1.76262166807587	94	154	3416	4013	751320	670187
DB00091	DB00608	0.23964148877942	female	1.39419981781642	0.717257302160742	3	2	3416	4013	1494	896
DB00091	DB00615	0.0676373530885752	male	0.309822181736981	3.22765785972334	1	3	3416	4013	205	221
