Drug.1	Drug.2	Number_pats	RR
DB00624_DB00682	Testosterone	Warfarin	22	Inf
DB00346_DB01026	Alfuzosin	Ketoconazole	10	Inf
DB00243_DB01167	Ranolazine	Itraconazole	8	Inf
DB00333_DB01045	Methadone	Rifampicin	5	Inf
DB01035_DB01118	Procainamide	Amiodarone	5	Inf
DB00295_DB00704	Morphine	Naltrexone	3	Inf
DB00575_DB00598	Clonidine	Labetalol	3	Inf
DB00877_DB01045	Sirolimus	Rifampicin	3	Inf
DB01026_DB01166	Ketoconazole	Cilostazol	3	Inf
DB00542_DB00697	Benazepril	Tizanidine	2	Inf
DB00227_DB01406	Lovastatin	Danazol	2	Inf
DB00682_DB00784	Warfarin	Mefenamic acid	2	Inf
DB00695_DB01082	Furosemide	Streptomycin	2	Inf
DB00897_DB00976	Triazolam	Telithromycin	2	Inf
DB00264_DB00280	Metoprolol	Disopyramide	1	Inf
DB00327_DB00704	Hydromorphone	Naltrexone	1	Inf
DB00489_DB00575	Sotalol	Clonidine	1	Inf
DB00563_DB00605	Methotrexate	Sulindac	1	Inf
DB00575_DB01142	Clonidine	Doxepin	1	Inf
DB00227_DB00976	Lovastatin	Telithromycin	1	Inf
DB00243_DB00280	Ranolazine	Disopyramide	1	Inf
DB00280_DB00598	Disopyramide	Labetalol	1	Inf
DB00349_DB00363	Clobazam	Clozapine	1	Inf
DB00564_DB00976	Carbamazepine	Telithromycin	1	Inf
DB00700_DB01026	Eplerenone	Ketoconazole	1	Inf
DB00945_DB01050	Acetylsalicylic acid	Ibuprofen	68614	1.13
DB00641_DB01394	Simvastatin	Colchicine	5917	4.29
DB01039_DB01076	Fenofibrate	Atorvastatin	6649	2.79
DB00338_DB01166	Omeprazole	Cilostazol	4770	3.84
DB00641_DB01039	Simvastatin	Fenofibrate	7487	2.13
DB01076_DB01394	Atorvastatin	Colchicine	2887	5.37
DB00641_DB01241	Simvastatin	Gemfibrozil	6518	2.11
DB00421_DB00584	Spironolactone	Enalapril	9094	1.18
DB00175_DB01039	Pravastatin	Fenofibrate	4688	2.16
DB01076_DB01241	Atorvastatin	Gemfibrozil	3886	2.58
DB00641_DB01118	Simvastatin	Amiodarone	5635	1.42
DB00343_DB00641	Diltiazem	Simvastatin	6370	1.15
DB00440_DB00650	Trimethoprim	Leucovorin	3015	2.11
DB00346_DB01167	Alfuzosin	Itraconazole	101	54.33
DB01001_DB01136	Salbutamol	Carvedilol	3295	1.43
DB01039_DB01098	Fenofibrate	Rosuvastatin	1400	3.3
DB00938_DB01136	Salmeterol	Carvedilol	2134	1.97
DB01076_DB01211	Atorvastatin	Clarithromycin	3530	1.11
DB00682_DB00945	Warfarin	Acetylsalicylic acid	1610	2.33
DB00983_DB01136	Formoterol	Carvedilol	1892	1.79
DB01118_DB01137	Amiodarone	Levofloxacin	2018	1.52
DB00178_DB00421	Ramipril	Spironolactone	1941	1.52
DB00175_DB01394	Pravastatin	Colchicine	676	4.09
