Males_morethanone_drug	Males_one_drug	Females_morethanone_drug	Females_one_drug
00-04	55188	77164	50358	71685
05-09	125745	177693	118755	169167
10-14	170704	262397	158470	247714
15-19	191108	285237	216676	299495
20-24	203189	299767	266673	358201
25-29	254367	372024	331131	450100
30-34	334387	473650	406216	544167
35-39	395566	542223	451836	588178
40-44	396963	535615	443874	568773
45-49	374612	491139	425416	529178
50-54	362176	454444	420964	503043
55-59	356189	425940	412813	476217
60-64	363274	411652	413234	458776
65-69	348638	377645	392173	421250
70-74	318599	338428	369974	391378
75-79	272404	284960	342562	357348
80-84	214632	222297	308125	318234
85-89	143102	147780	245370	252813
90-94	0	0	0	0
95-99	0	0	0	0
>99	66031	68029	147909	151966
