Rankp	Strength	Npats	Co-disp. length	Drug.1	Drug.2	RRi.fem	Severity
(17,220)	0.21	   717	8.14+-13.96	Fluoxetine	Carbamazepine	1.55	Moderate
(9,221)	0.14	 44911	2.59+-4.6	Furosemide	Ibuprofen	1.52	Moderate
(700,17)	0.22	    19	3.53+-7.71	Megestrol acetate	Primidone	1.03	Moderate
(14,412)	0.18	   116	5.92+-11.28	Paroxetine	Frovatriptan	6.26	None
(4,5)	0.57	   182	1.01+-0.1	Levofloxacin	Josamycin	1.67	None
(1,15)	0.18	     4	3.75+-2.63	Trospium	Trihexyphenidyl	0.31	Moderate
(2,20)	0.42	     2	1+-0	Lovastatin	Danazol	0	Major
(7,16)	0.1	    29	1+-0	Carbamazepine	Josamycin	0.66	None
(744,73)	0.09	    10	2+-2.49	Alfuzosin	Ketoconazole	0	Major
(347,3034)	0.17	   143	6.2+-8.5	Warfarin	Fluvastatin	0.65	Minor
(208,5)	0.06	     2	1+-0	Pyridostigmine	Prednisolone	0.93	Moderate
(524,76)	1	     1	1+-NA	Conjugated estrogens	Prednisolone	0	Moderate
(1011,63)	0.24	  4958	6.53+-8.07	Risperidone	Donepezil	1.94	Moderate
(12,21)	0.25	   271	9.48+-14.58	Phenytoin	Fluoxetine	0.8	Moderate
(21,658)	0.27	   225	11.06+-17	Spironolactone	Quinapril	0.77	Major
(171,10)	0.09	  3196	2.89+-4.72	Ibuprofen	Lithium	1.28	Moderate
(74,117)	0.02	     1	2+-NA	Lovastatin	Telithromycin	0	Major
(22,582)	0.11	     4	1+-0	Benzylpenicillin	Acenocoumarol	0.31	None
(643,6)	0.13	    22	5+-7.76	Warfarin	Primidone	1.12	Major
(150,194)	0.29	   111	1.42+-1.06	Methylprednisolone aceponate	Rifampicin	0.98	Moderate
(3,26)	0.08	    95	1.73+-1.65	Itraconazole	Aripiprazole	1.39	Moderate
(420,248)	0.09	     2	2.5+-2.12	Benazepril	Tizanidine	0	Major
(652,5)	0.28	  5690	9.42+-10.75	Donepezil	Quetiapine	1.73	Moderate
(5,4)	0.1	  2172	1.38+-1.28	Erythromycin	Alprazolam	3.06	Moderate
(6,10)	0.17	    29	1.1+-0.31	Triazolam	Clarithromycin	2.07	Moderate
(213,702)	0.16	  6107	8.56+-13.99	Omeprazole	Cilostazol	0.26	Major
(45,45)	0.1	    84	2.26+-3.29	Ibuprofen	Oxprenolol	2.19	None
(50,40)	0.23	   238	4.15+-6.26	Methotrexate	Sulfamethoxazole	1.01	Moderate
(43,12)	0.24	   118	3.53+-6.28	Trospium	Tolterodine	1.45	Moderate
(10,2)	0.13	   186	5.11+-9.27	Metoprolol	Formoterol	0.97	Moderate
(27,236)	0.25	    66	1.35+-1.55	Ranitidine	Ketoconazole	1.26	Moderate
(59,7)	0.21	    80	10.54+-16.31	Irbesartan	Lithium	1.03	Moderate
(78,10)	0.17	   968	1.47+-1.23	Pantoprazole	Itraconazole	1.46	Moderate
(807,16)	0.25	   410	7.08+-13.12	Fluvastatin	Gemfibrozil	0.46	Major
(1502,249)	0.09	    30	1.2+-0.76	Prednisolone	Acenocoumarol	1.39	None
(161,46)	0.09	  2446	3.02+-6.51	Indomethacin	Bisoprolol	0.48	Moderate
(13,78)	0.12	    17	1.59+-1.5	Ketoconazole	Tolterodine	1.33	Moderate
(23,136)	0.27	   108	7.48+-11.44	Theophylline	Verapamil	0.66	Moderate
(19,36)	0.12	     1	1+-NA	Lidocaine	Cimetidine	Inf	Moderate
(729,5)	0.31	   143	9.65+-13.12	Phenytoin	Amiodarone	0.84	Moderate
(631,588)	0.07	   206	1.38+-1.25	Doxycycline	Insulin Aspart	0.59	Moderate
(30,39)	0.15	    90	4.17+-6.22	Frovatriptan	Escitalopram	11.02	Major
(8,4)	0.07	   648	2.71+-3.83	Lidocaine	Atenolol	2.02	Moderate
(89,19)	0.14	 15804	3.83+-7.34	Tramadol	Paroxetine	4.1	Major
(84,974)	0.23	     5	3.4+-3.78	Trospium	Ketotifen	3.72	None
(25,123)	0.06	     1	1+-NA	Methotrexate	Sulindac	0	Major
(35,5)	0.38	     2	1.5+-0.71	Rifampicin	Doxepin	0.93	Minor
(243,745)	0.01	     1	1+-NA	Metoprolol	Rifampicin	0	Moderate
(1642,64)	0.14	     8	1+-0	Erythromycin	Ranolazine	0.56	Major
(29,54)	0.25	    89	13.73+-20.97	Ziprasidone	Carbamazepine	0.63	Minor
(77,188)	0.18	   613	1.57+-2.78	Lansoprazole	Itraconazole	1.54	Moderate
(224,100)	0.22	   168	5.73+-7.79	Galantamine	Methotrimeprazine	1.3	Moderate
(11,288)	0.14	     4	5.75+-9.5	Sotalol	Ergotamine	Inf	Moderate
(1302,11)	0.24	    11	7+-6.1	Oxcarbazepine	Felodipine	0.77	Moderate
(33,33)	0.2	    12	4.83+-4.06	Perphenazine	Rivastigmine	1.3	Moderate
(26,25)	0.06	    29	1.07+-0.37	Atenolol	Ampicillin	0.76	Moderate
(235,4)	0.27	    61	7.1+-8.59	Galantamine	Oxybutynin	0.84	Moderate
(1477,62)	0.06	    11	3.18+-3.31	Carbamazepine	Isotretinoin	0.35	Moderate
(55,76)	0.07	     9	1.67+-1	Doxycycline	Primidone	0.12	Moderate
(234,289)	0.02	     1	2+-NA	Primidone	Prednisolone	0	Moderate
(532,83)	0.25	    79	1.38+-1.4	Lansoprazole	Ketoconazole	1.23	Moderate
(431,14)	0.24	  1436	10.85+-15.24	Fluvastatin	Acenocoumarol	0.64	None
(41,227)	0.43	   311	1.21+-0.8	Doxycycline	Ferrous glycine sulfate	4.63	Moderate
(94,659)	0.06	   152	1.35+-0.89	Lovastatin	Itraconazole	1.59	Major
(79,116)	0.1	   280	1.3+-1.12	Moxifloxacin	Warfarin	0.57	Major
(18,515)	0.22	 16312	12.71+-18.99	Acetylsalicylic acid	Insulin Aspart	0.7	Moderate
(1148,7022)	0.2	    27	4.15+-6.41	Mirtazapine	Clonidine	0.46	Moderate
(15,1346)	0.12	   240	3.36+-4.47	Dihydroergotamine	Bisoprolol	1.73	Moderate
(217,107)	0.09	    29	1.97+-2.24	Flurbiprofen	Acenocoumarol	0.66	None
