gender,age_group,patient,patient.coadmin,patient.inter,Minor,Moderate,Major,None
Female,0-4,71685,50358,135,0,86,58,8
Female,5-9,169167,118755,504,5,283,230,41
Female,10-14,247714,158470,1258,14,881,412,49
Female,15-19,299495,216676,9846,29,9031,906,165
Female,20-24,358201,266673,16666,58,15233,1668,353
Female,25-29,450100,331131,20581,109,17908,3150,641
Female,30-34,544167,406216,28515,195,24136,5482,1037
Female,35-39,588178,451836,39250,310,32522,8850,1592
Female,40-44,568773,443874,47593,379,38521,12201,2186
Female,45-49,529178,425416,58005,478,46212,16510,3128
Female,50-54,503043,420964,69767,589,54795,21090,4368
Female,55-59,476217,412813,81815,789,63635,25775,6436
Female,60-64,458776,413234,94696,964,73650,29482,9789
Female,65-69,421250,392173,100692,1452,77238,31443,14037
Female,70-74,391378,369974,101200,2162,75429,31724,19025
Female,75-79,357348,342562,104404,3224,75916,32880,25849
Female,80-84,318234,308125,104511,4242,74983,32457,31175
Female,85-89,252813,245370,86086,4152,61950,25898,26911
Female,90-94,141544,137182,46368,2122,33940,13573,13127
Female,95-99,51014,49102,14393,616,10992,4140,3003
Female,>99,9664,9194,2267,67,1837,595,275
Male,0-4,77164,55188,173,1,118,67,11
Male,5-9,177693,125745,586,11,382,219,55
Male,10-14,262397,170704,1321,13,889,458,103
Male,15-19,285237,191108,2977,29,2343,682,131
Male,20-24,299767,203189,4761,29,3853,960,228
Male,25-29,372024,254367,8194,58,6678,1625,441
Male,30-34,473650,334387,15023,122,12294,3128,744
Male,35-39,542223,395566,24103,185,19303,5756,1343
Male,40-44,535615,396963,32373,288,24708,9070,2238
Male,45-49,491139,374612,41040,431,29830,13617,3620
Male,50-54,454444,362176,50872,582,35037,19318,6126
Male,55-59,425940,356189,60747,809,40311,24291,9583
Male,60-64,411652,363274,74232,1112,47858,30806,14646
Male,65-69,377645,348638,82486,1497,52555,34210,19918
Male,70-74,338428,318599,82923,1970,51843,32505,23900
Male,75-79,284960,272404,79991,2378,49888,29830,27148
Male,80-84,222297,214632,71559,2509,44977,24469,26911
Male,85-89,147780,143102,48681,1917,30785,15477,18916
Male,90-94,65076,62930,20263,771,13270,5845,7171
Male,95-99,17380,16699,4680,176,3224,1349,1273
Male,>99,2329,2206,519,17,380,162,95
