id_drug,coadmin,inter,patient,patient.inter,patient.coad
DB00315,568509,22567,40559,4133,32639
DB00370,5298243,54150,125329,5013,115405
DB00381,31230263,32970,399854,3872,384278
DB00404,17430200,1722784,570451,176437,470248
DB00715,9393901,254921,291589,37431,260965
DB00722,8121036,10710,168783,1876,154582
DB00788,5565104,66516,1153439,22336,867122
DB01050,25708194,1129301,3434653,294270,2936979
DB01059,1214906,10459,336628,7052,229980
DB01060,18326259,59850,3490956,43634,2897950
DB01184,3384460,0,541316,0,399095
DB01222,12144231,2805,1029698,2275,908904
DB13257,8971396,0,704289,0,523550
DB00316,73922875,773926,3648785,108886,3315179
DB00318,4867777,142,1110867,117,991812
DB00332,9200458,401,453689,146,426981
DB00338,129842414,3608404,2640806,464144,2437407
DB00635,7165695,259350,708619,72574,613882
DB00787,324272,43,103345,38,69158
DB00871,949525,12136,151574,5899,127100
DB01586,1072468,13625,22591,1299,20293
DB06723,3689806,0,367964,0,303640
DB09214,5086718,0,1080389,0,896999
DB00557,1501227,3721,283860,975,181019
DB04817,12730754,0,1515986,0,1380215
DB00455,2922638,182,722556,98,534572
DB00571,3188518,254961,92077,32561,79409
DB00584,53615180,146852,842190,22043,789185
DB00763,566699,15291,24217,2013,21131
DB00121,219801,0,22074,0,16944
DB00175,7876573,99710,113277,9121,107643
DB00178,7931621,32917,126034,3772,117596
DB00186,30548818,14223,785345,1515,686066
DB00193,13454710,255056,798648,57910,759914
DB00230,6803048,6742,274245,1375,242987
DB00331,47368362,24146,481800,5096,467671
DB00497,861215,23898,26192,3576,25061
DB00514,1196448,9927,381219,8077,308948
DB00695,25431625,416567,401887,77630,384415
DB00736,2615878,689,128662,449,113446
DB00912,3979644,157503,59539,16644,57958
DB00945,68223732,2074546,720578,250443,698279
DB06742,1802507,0,457510,0,381388
DB13679,818532,0,317535,0,190975
DB13919,5035221,0,70267,0,67261
DB00586,7452065,57820,1421507,22441,1136219
DB00646,1469888,0,266354,0,218694
DB00764,2025609,0,356807,0,297614
DB00924,1018770,377,300166,204,261003
DB01147,452172,5037,238890,4596,151547
DB01225,2303232,0,417241,0,354404
DB00115,3499039,0,235739,0,183236
DB00146,3671589,0,318130,0,274899
DB00996,5364717,5467,217499,444,192171
DB01129,2182872,5927,101940,1514,89135
DB01137,2636937,34234,411286,22074,357742
DB01211,1436016,87395,448905,59055,382460
DB08810,1663726,0,164206,0,130351
DB09301,3554905,0,263431,0,211203
DB00537,3357018,44443,747814,29720,583962
DB00697,406908,13588,57462,4701,49995
DB00828,3129174,0,804675,0,529171
DB01001,12860961,154423,834121,43652,747219
DB06151,5640177,0,957709,0,830741
DB06698,6264163,0,479003,0,373042
DB11614,682202,0,114740,0,91051
DB00227,2019711,38013,29789,4821,28434
DB00641,65938831,674263,833079,85919,788184
DB01068,4555862,361987,128655,48687,118822
DB1332,2027022,0,517814,0,440757
DB13872,16065536,0,353813,0,320472
DB00199,248561,21250,81633,12937,62705
DB00341,3654860,222,732469,106,549554
DB00417,128487,1054,105684,987,67173
DB00967,1156569,149,229207,31,168882
DB04339,1550305,0,324578,0,276219
DB08906,1493305,0,208474,0,172496
DB09002,2272199,0,704421,0,567859
DB11742,4186241,0,648113,0,494605
DB13867,10812581,0,227440,0,212183
DB00162,362698,0,37600,0,31372
DB00215,12949969,321113,354648,47124,320554
DB00273,2019026,33058,60024,2346,54430
DB00472,5582825,240027,186326,33932,164030
DB00482,1236674,4332,143752,1895,116644
DB00813,4050331,9435,111603,3632,108363
DB00829,12002679,1068097,993625,262374,849386
DB00884,2718538,0,72712,0,68072
DB01104,8856213,148775,218035,16846,198310
DB01112,1170103,201,328949,189,255259
DB01592,1831788,33416,226525,16461,153664
DB01628,1066340,2685,138336,1393,110969
DB08995,2404482,0,167118,0,138141
DB09300,933763,0,298716,0,221786
DB11251,407531,0,19452,0,16858
DB11921,1418236,0,195345,0,165556
DB00196,585200,46281,196206,25499,125760
DB00207,3535449,19871,920788,11887,714089
DB00302,485240,0,125451,0,90920
DB00304,249011,253,115689,64,53960
DB00717,335702,1098,30422,236,22324
DB00916,598398,2616,185725,2146,155863
DB01190,578827,79,171365,62,134206
DB06145,312448,0,88914,0,78234
DB11596,64620,0,7317,0,4657
DB00152,494039,0,26591,0,23420
DB00158,3993095,10983,237507,1164,185373
DB00476,4189397,48752,89239,8323,83683
DB00758,11889241,0,152112,0,147662
DB00999,26655802,51832,482515,7994,456196
DB01233,1810762,9114,540038,5691,405805
DB01558,2933686,118,92595,16,77900
DB11098,2576651,0,90501,0,84474
DB13345,426804,0,17419,0,15748
DB00612,24016308,690274,316787,89969,304608
DB00678,18793081,66667,275870,8917,263982
DB00876,1147537,2831,23398,336,21973
DB00938,11354026,137632,206849,16567,198219
DB01006,1265986,0,25451,0,23843
DB00415,11759,159,4404,142,3095
DB00603,104870,501,33556,68,17036
DB00066,47720,0,9855,0,9350
DB00669,386494,15104,33210,3024,26644
DB01167,289288,57883,124232,29547,73120
DB04930,91797,0,47577,0,32475
DB06785,9693,0,2423,0,2341
DB06825,307557,0,21011,0,17039
DB00086,630193,0,195674,0,147832
DB00367,1379596,262,131499,59,123792
DB00471,2463076,0,72817,0,64563
DB00959,1394560,36687,113559,11848,99786
DB00977,1991154,56613,188987,35527,182708
DB00983,8630987,111784,299492,19426,286485
DB01395,334354,607,53574,189,53574
DB06282,545516,0,63813,0,48790
DB08985,78347,0,10706,0,7215
DB12472,204054,0,69267,0,55923
DB13810,363328,0,127305,0,99258
DB00285,7172989,17254,124893,5328,117635
DB00351,440903,642,31147,180,29206
DB00502,1440034,69377,63755,5829,60467
DB00581,3524680,0,205415,0,178502
DB00630,8984787,235609,193531,59253,183601
DB00734,3786721,115780,106327,15664,99544
DB00989,1473798,98261,27378,10531,25979
