age_group,gender,id_drug,name_drug,coadmin,inter,patient,patient-inter,patient.coad
00-04,Female,DB01050,Ibuprofen,104666,49,44786,39,35201
00-04,Female,DB01060,Amoxicillin,95917,16,50196,14,33735
00-04,Female,DB06742,Ambroxol,18453,0,13445,0,8470
00-04,Female,DB00207,Azithromycin,13841,1,8458,1,5463
00-04,Female,DB00316,Acetaminophen,73925,6,32605,6,26502
00-04,Female,DB04339,Carbocisteine,9286,0,6877,0,4392
00-04,Female,DB00871,Terbutaline,3095,0,2270,0,1513
00-04,Female,DB01001,Salbutamol,47190,3,18197,3,14135
00-04,Female,DB09002,Cloperastine,33558,0,23910,0,14387
00-04,Female,DB01222,Budesonide,21329,1,7195,1,5887
00-04,Female,DB00860,Prednisolone,27351,19,12455,13,9199
00-04,Female,DB00646,Nystatin,1011,0,1059,0,509
00-04,Female,DB00514,Dextromethorphan,11437,4,9433,4,5523
00-04,Female,DB01184,Domperidone,2199,0,2446,0,1122
00-04,Female,DB09019,Bromhexine,518,0,406,0,258
00-04,Female,DB00557,Hydroxyzine,7692,0,10911,0,4600
00-04,Female,DB01233,Metoclopramide,904,0,947,0,477
00-04,Female,DB13679,Dexchlorpheniramine,4950,0,7017,0,2898
00-04,Female,DB00829,Diazepam,851,13,330,13,235
00-04,Female,DB06151,Acetylcysteine,10031,0,6870,0,4499
00-04,Female,DB00586,Diclofenac,134,0,80,0,59
00-04,Female,DB13810,Dimemorfan,7169,0,6137,0,3554
00-04,Female,DB00176,Fluvoxamine,7,2,4,2,4
00-04,Female,DB00193,Tramadol,51,3,19,3,17
00-04,Female,DB00388,Phenylephrine,7971,0,6482,0,3808
00-04,Female,DB00788,Naproxen,69,0,43,0,36
00-04,Female,DB06736,Aceclofenac,24,0,9,0,8
00-04,Female,DB00643,Mebendazole,2062,0,2858,0,1142
00-04,Female,DB11921,Deflazacort,1352,0,808,0,555
00-04,Female,DB00318,Codeine,5834,0,4353,0,2734
00-04,Female,DB00581,Lactulose,1004,0,1242,0,543
00-04,Female,DB01211,Clarithromycin,5495,14,3971,14,2496
00-04,Female,DB00864,Tacrolimus,195,1,219,1,102
00-04,Female,DB06174,Noscapine,2294,0,1327,0,942
00-04,Female,DB11696,Racecadotril,1136,0,1284,0,594
00-04,Female,DB12487,Promestriene,183,0,310,0,108
00-04,Female,DB01140,Cefadroxil,337,0,381,0,177
00-04,Female,DB00218,Moxifloxacin,20,0,9,0,9
00-04,Female,DB00671,Cefixime,3810,0,3250,0,1758
00-04,Female,DB00471,Montelukast,11390,0,2464,0,1940
00-04,Female,DB13867,Fluticasone,5685,0,1233,0,1061
00-04,Female,DB00938,Salmeterol,3839,0,682,0,616
00-04,Female,DB00833,Cefaclor,1016,0,867,0,506
00-04,Female,DB06691,Mepyramine,804,0,561,0,395
00-04,Female,DB00199,Erythromycin,557,2,493,2,274
00-04,Female,DB01112,Cefuroxime,8219,0,6263,0,3798
00-04,Female,DB11156,Pyrantel,369,0,576,0,223
00-04,Female,DB00455,Loratadine,3459,0,3287,0,1766
00-04,Female,DB13511,Clebopride,450,0,486,0,244
00-04,Female,DB00635,Prednisone,203,1,92,1,71
00-04,Female,DB00967,Desloratadine,5402,0,4235,0,2377
00-04,Female,DB00764,Mometasone,649,0,427,0,294
00-04,Female,DB01225,Enoxaparin,7,0,9,0,5
00-04,Female,DB00591,Fluocinolone acetonide,304,0,352,0,164
00-04,Female,DB00828,Fosfomycin,199,0,288,0,109
00-04,Female,DB12472,Levodropropizine,1722,0,1564,0,874
00-04,Female,DB12942,Lactitol,365,0,369,0,164
00-04,Female,DB00417,Phenoxymethylpenicillin,1373,0,1557,0,776
00-04,Female,DB00341,Cetirizine,1476,0,1443,0,750
00-04,Female,DB00400,Griseofulvin,93,0,116,0,44
00-04,Female,DB11614,Rupatadine,14,0,14,0,10
00-04,Female,DB00715,Paroxetine,76,2,34,2,28
00-04,Female,DB00920,Ketotifen,895,0,381,0,284
00-04,Female,DB00440,Trimethoprim,4108,51,1552,10,1422
