gender,age_group,patient-inter-excl-omeprazole,patient-inter-major,patient-inter-moderate,patient-inter-minor,patient-inter-none
Female,00-04,125,58,76,0,8
Female,05-09,473,230,250,5,41
Female,10-14,1142,412,763,14,48
Female,15-19,8899,906,8065,29,154
Female,20-24,13999,1668,12491,58,312
Female,25-29,15141,3149,12226,109,561
Female,30-34,19229,5482,14315,195,862
Female,35-39,24688,8845,16852,310,1292
Female,40-44,28195,12190,17417,379,1731
Female,45-49,34373,16484,20003,478,2438
Female,50-54,42961,21045,24816,589,3519
Female,55-59,54113,25721,32398,789,5407
Female,60-64,66038,29400,41336,964,8610
Female,65-69,73417,31335,46131,1452,12870
Female,70-74,77096,31577,47728,2162,18000
Female,75-79,84221,32666,52060,3224,25025
Female,80-84,88127,32237,55143,4242,30581
Female,85-89,74509,25727,47863,4152,26596
Female,90,47480,16689,32605,2493,14274
Male,00-04,156,67,103,1,9
Male,05-09,557,219,352,11,54
Male,10-14,1245,458,810,13,103
Male,15-19,2502,682,1859,29,127
Male,20-24,3107,959,2171,29,199
Male,25-29,4706,1624,3106,58,371
Male,30-34,8164,3125,5213,122,618
Male,35-39,13162,5749,7802,185,1171
Male,40-44,19071,9048,10598,288,2011
Male,45-49,26671,13535,14347,431,3351
Male,50-54,36411,19129,19093,582,5785
Male,55-59,46440,23944,24347,809,9199
Male,60-64,60095,30247,31913,1112,14192
Male,65-69,69403,33440,37602,1497,19520
Male,70-74,71896,31726,39139,1970,23539
Male,75-79,71408,29055,39835,2378,26873
Male,80-84,65085,23883,37174,2509,26723
Male,85-89,44831,15170,26062,1917,18844
Male,90,20754,6726,13007,886,7598
