gender,age_group,patient,patient-coadmin,patient-inter,patient-inter-major,patient-inter-moderate,patient-inter-minor,patient-inter-none
Female,00-04,71685,50043,135,58,86,0,8
Female,05-09,169167,118225,504,230,283,5,41
Female,10-14,247714,158076,1258,412,881,14,49
Female,15-19,299495,216387,9846,906,9031,29,165
Female,20-24,358201,266390,16666,1668,15233,58,353
Female,25-29,450100,330804,20581,3150,17908,109,641
Female,30-34,544167,405788,28515,5482,24136,195,1037
Female,35-39,588178,451412,39250,8850,32522,310,1592
Female,40-44,568773,443556,47593,12201,38521,379,2186
Female,45-49,529178,425184,58005,16510,46212,478,3128
Female,50-54,503043,420763,69767,21090,54795,589,4368
Female,55-59,476217,412654,81815,25775,63635,789,6436
Female,60-64,458776,413127,94696,29482,73650,964,9789
Female,65-69,421250,392098,100692,31443,77238,1452,14037
Female,70-74,391378,369914,101200,31724,75429,2162,19025
Female,75-79,357348,342509,104404,32880,75916,3224,25849
Female,80-84,318234,308085,104511,32457,74983,4242,31175
Female,85-89,252813,245352,86086,25898,61950,4152,26911
Female,90,151966,147904,54054,16790,40569,2493,14413
Male,00-04,77164,54852,173,67,118,1,11
Male,05-09,177693,125207,586,219,382,11,55
Male,10-14,262397,170339,1321,458,889,13,103
Male,15-19,285237,190825,2977,682,2343,29,131
Male,20-24,299767,202847,4761,960,3853,29,228
Male,25-29,372024,254026,8194,1625,6678,58,441
Male,30-34,473650,333917,15023,3128,12294,122,744
Male,35-39,542223,395085,24103,5756,19303,185,1343
Male,40-44,535615,396540,32373,9070,24708,288,2238
Male,45-49,491139,374284,41040,13617,29830,431,3620
Male,50-54,454444,361897,50872,19318,35037,582,6126
Male,55-59,425940,355933,60747,24291,40311,809,9583
Male,60-64,411652,363103,74232,30806,47858,1112,14646
Male,65-69,377645,348524,82486,34210,52555,1497,19918
Male,70-74,338428,318517,82923,32505,51843,1970,23900
Male,75-79,284960,272362,79991,29830,49888,2378,27148
Male,80-84,222297,214601,71559,24469,44977,2509,26911
Male,85-89,147780,143090,48681,15477,30785,1917,18916
Male,90,68029,66027,22586,6828,15228,886,7630
