gender,id_drug_i,id_drug_j,patient,name_i,name_j,sum(len_i),sum(len_j),sum(len_ij),mean(len_ij),std(len_ij),sum(tau),class_i,class_j,ddi_description,ddi_severity,patient-drug_i,patient-drug_j,gamma-drug_ij,gamma-drug_ji,tau-norm
Male,DB01118,DB01418,12139,Amiodarone,Acenocoumarol,344777,2278071,87806,7.23338001482824,9.8252394325819,3192.24438739819,Organooxygen compounds,Coumarins and derivatives,The therapeutic efficacy of Acenocoumarol can be increased when used in combination with Amiodarone.,None,32842,100435,0.369618171853115,0.120864240553592,0.262974247252508
Male,DB00390,DB00695,14006,Digoxin,Furosemide,381294,2248494,104628,7.47022704555191,9.4581929624435,3840.40005350474,Steroids and steroid derivatives,Benzene and substituted derivatives,The risk or severity of adverse effects can be increased when Furosemide is combined with Digoxin.,Moderate,32281,171992,0.433877513088194,0.0814340201869854,0.274196776631782
Male,DB00244,DB00993,1724,Mesalazine,Azathioprine,311976,186204,28186,16.3491879350348,21.887723164855,501.534649015325,Benzene and substituted derivatives,Thioethers,The metabolism of Azathioprine can be decreased when combined with Mesalazine.,Moderate,13347,6683,0.129167603206713,0.257967978452791,0.290913369498448
Male,DB00440,DB00650,3015,Trimethoprim,Leucovorin,83759,74817,10139,3.36285240464345,4.9092980680888,1584.98040519926,Phenol ethers,Carboxylic acids and derivatives,,Major,39596,9300,0.076144054955046,0.324193548387097,0.525698310182175
Male,DB00338,DB00829,91136,Omeprazole,Diazepam,20675857,1536178,338310,3.71214448735955,8.83951039805165,23380.9623830791,Benzimidazoles,Benzodiazepines,The metabolism of Diazepam can be decreased when combined with Omeprazole.,Moderate,1180390,378455,0.0772083802810935,0.240810664411885,0.256550236822761
Male,DB00945,DB01120,22107,Acetylsalicylic acid,Gliclazide,10896468,1507561,338025,15.2904057538336,18.85974363856,5717.88875267619,Benzene and substituted derivatives,Benzene and substituted derivatives,Acetylsalicylic acid may increase the hypoglycemic activities of Gliclazide.,None,373902,71001,0.0591251183465186,0.311361811805468,0.258646073762889
Male,DB00502,DB00810,1944,Haloperidol,Biperiden,163095,195649,30549,15.7145061728395,21.8566252985693,819.507862524592,Organooxygen compounds,Organonitrogen compounds,,Moderate,26349,10715,0.0737788910395081,0.181427904806346,0.421557542450922
Male,DB00989,DB01224,2665,Rivastigmine,Quetiapine,120210,581956,17789,6.6750469043152,7.31325544387475,717.099533923177,Benzene and substituted derivatives,Benzothiazepines,,Moderate,9988,54393,0.266820184221065,0.0489952751273142,0.269080500534025
Male,DB00437,DB01418,13495,Allopurinol,Acenocoumarol,2679369,2278071,153149,11.3485735457577,14.3994453962311,3157.11516547499,Pyrazolopyrimidines,Coumarins and derivatives,Allopurinol may increase the anticoagulant activities of Acenocoumarol.,None,141437,100435,0.0954135056597637,0.134365510031364,0.233947029675805
Male,DB00390,DB00421,4148,Digoxin,Spironolactone,381294,451909,26070,6.28495660559306,8.13334109394284,1228.29827527768,Steroids and steroid derivatives,Steroids and steroid derivatives,The serum concentration of Digoxin can be increased when it is combined with Spironolactone.,Minor,32281,42452,0.128496638889749,0.0977103552247244,0.296118195582855
Male,DB00316,DB01418,45583,Acetaminophen,Acenocoumarol,8283157,2278071,292623,6.41956431125639,9.71998465630575,7518.92851748114,Phenols,Coumarins and derivatives,Acetaminophen may increase the anticoagulant activities of Acenocoumarol.,None,1648170,100435,0.0276567344388018,0.453855727585005,0.164950277899242
Male,DB00945,DB01016,13237,Acetylsalicylic acid,Glyburide,10896468,607098,155224,11.726524136889,15.0006396997057,3192.99259165112,Benzene and substituted derivatives,Benzene and substituted derivatives,Acetylsalicylic acid may increase the hypoglycemic activities of Glyburide.,Moderate,373902,38080,0.0354023246733101,0.347610294117647,0.241217238925068
Male,DB00338,DB00404,50957,Omeprazole,Alprazolam,20675857,2012048,450263,8.8361363502561,16.581031381269,10658.9924543359,Benzimidazoles,Benzodiazepines,The metabolism of Alprazolam can be decreased when combined with Omeprazole.,Moderate,1180390,193022,0.043169630376401,0.263995813948669,0.209176216306609
Male,DB00390,DB01136,3293,Digoxin,Carvedilol,381294,1094573,35155,10.6756756756757,13.5800987889315,853.454631802532,Steroids and steroid derivatives,Indoles and derivatives,Digoxin may increase the bradycardic activities of Carvedilol.,Moderate,32281,38052,0.102010470555435,0.0865394723010617,0.259172375281668
Male,DB00175,DB01039,4688,Pravastatin,Fenofibrate,1097378,859265,56749,12.105162116041,14.5023202831259,3354.97404734069,Hydroxy acids and derivatives,Benzene and substituted derivatives,The risk or severity of myopathy and rhabdomyolysis can be increased when Fenofibrate is combined with Pravastatin.,Major,52612,47820,0.0891051471147267,0.098034295273944,0.715651460610216
Male,DB00945,DB01306,9289,Acetylsalicylic acid,Insulin aspart,10896468,715313,126652,13.6346215954355,19.9313418459316,2081.45035077543,Benzene and substituted derivatives,Carboxylic Acids and Derivatives,Acetylsalicylic acid may increase the hypoglycemic activities of Insulin Aspart.,Moderate,373902,28999,0.0248434081657761,0.320321390392772,0.224076902871723
Male,DB00945,DB01050,68614,Acetylsalicylic acid,Ibuprofen,10896468,5273130,189425,2.76073396099921,4.97008228179681,5618.15442928603,Benzene and substituted derivatives,Phenylpropanoic acids,The risk or severity of adverse effects can be increased when Acetylsalicylic acid is combined with Ibuprofen.,Major,373902,1586173,0.183507978026328,0.0432575765695167,0.081880584564171
Male,DB00843,DB01224,1988,Donepezil,Quetiapine,180387,581956,17604,8.85513078470825,9.90224686814782,573.890963494074,Piperidines,Benzothiazepines,,Moderate,10009,54393,0.198621240883205,0.0365488206203004,0.288677547029212
Male,DB00635,DB00945,26983,Prednisone,Acetylsalicylic acid,828038,10896468,97158,3.60071155912982,7.66670066591949,2920.3485195571,Steroids and steroid derivatives,Benzene and substituted derivatives,The risk or severity of adverse effects can be increased when Acetylsalicylic acid is combined with Prednisone.,Moderate,305977,373902,0.0881863669491498,0.0721659686227942,0.108229200591376
Male,DB00734,DB00843,1607,Risperidone,Donepezil,551427,180387,9991,6.21717485998755,8.15483743447593,386.296586171565,Pyridopyrimidines,Piperidines,,Moderate,47360,10009,0.0339315878378378,0.160555500049955,0.240383687723438
Male,DB00338,DB01068,18207,Omeprazole,Clonazepam,20675857,544149,131429,7.2185972428187,12.918346016062,3649.01899322424,Benzimidazoles,Benzodiazepines,,Moderate,1180390,52767,0.0154245630681385,0.345045198703735,0.200418465053235
Male,DB00656,DB00989,1535,Trazodone,Rivastigmine,353491,120210,9074,5.9114006514658,6.69409586756072,370.065342361985,Diazinanes,Benzene and substituted derivatives,,Moderate,44939,9988,0.0341574133825853,0.153684421305567,0.24108491359087
Male,DB00390,DB01118,2340,Digoxin,Amiodarone,381294,344777,11137,4.75940170940171,7.11487440952808,612.618034455649,Steroids and steroid derivatives,Organooxygen compounds,The serum concentration of Digoxin can be increased when it is combined with Amiodarone.,Major,32281,32842,0.0724884607044392,0.0712502283661166,0.261802578827201
Male,DB00945,DB01418,13876,Acetylsalicylic acid,Acenocoumarol,10896468,2278071,93593,6.7449553185356,12.1144345348392,2115.46856426704,Benzene and substituted derivatives,Coumarins and derivatives,Acetylsalicylic acid may increase the anticoagulant activities of Acenocoumarol.,None,373902,100435,0.0371113286369156,0.138159008313835,0.152455215066809
Male,DB00682,DB01118,1279,Warfarin,Amiodarone,154725,344777,7422,5.80297107114934,7.96551392793304,342.876061967788,Coumarins and derivatives,Organooxygen compounds,The therapeutic efficacy of Warfarin can be increased when used in combination with Amiodarone.,Major,9901,32842,0.129178870821129,0.0389440350770355,0.268081361976378
Male,DB00945,DB01307,5064,Acetylsalicylic acid,Insulin detemir,10896468,259270,64126,12.663112164297,17.5864966544446,1198.88760959872,Benzene and substituted derivatives,Carboxylic Acids and Derivatives,Acetylsalicylic acid may increase the hypoglycemic activities of Insulin Detemir.,Moderate,373902,14375,0.0135436558242534,0.352278260869565,0.236747158293586
Male,DB00421,DB00584,9094,Spironolactone,Enalapril,451909,11094905,72697,7.99395205630086,11.8453071640428,2407.32141552771,Steroids and steroid derivatives,Carboxylic acids and derivatives,The risk or severity of adverse effects can be increased when Spironolactone is combined with Enalapril.,Major,42452,420229,0.214218411382267,0.0216405816828444,0.264715352488202
Male,DB01039,DB01076,6649,Fenofibrate,Atorvastatin,859265,4939299,108334,16.293277184539,21.4204096946741,2111.7738244363,Benzene and substituted derivatives,Pyrroles,The risk or severity of myopathy and rhabdomyolysis can be increased when Fenofibrate is combined with Atorvastatin.,Major,47820,209764,0.139042241739858,0.0316975267443413,0.317607734160972
