gender,age_group,run,patients,patients_with_ddi
Female,00-04,1,71685,1588
Female,00-04,2,71685,21441
Female,00-04,3,71685,122
Female,00-04,4,71685,3789
Female,00-04,5,71685,36
Female,00-04,6,71685,2437
Female,00-04,7,71685,5532
Female,00-04,8,71685,42
Female,00-04,9,71685,115
Female,00-04,10,71685,1039
Female,00-04,11,71685,143
Female,00-04,12,71685,433
Female,00-04,13,71685,190
Female,00-04,14,71685,661
Female,00-04,15,71685,2953
Female,00-04,16,71685,849
Female,00-04,17,71685,23
Female,00-04,18,71685,810
Female,00-04,19,71685,1117
Female,00-04,20,71685,86
Female,00-04,21,71685,2001
Female,00-04,22,71685,333
Female,00-04,23,71685,3267
Female,00-04,24,71685,796
Female,00-04,25,71685,1838
Female,00-04,26,71685,853
Female,00-04,27,71685,624
Female,00-04,28,71685,625
Female,00-04,29,71685,6579
Female,00-04,30,71685,1433
Female,00-04,31,71685,286
Female,00-04,32,71685,248
Female,00-04,33,71685,1095
Female,00-04,34,71685,101
Female,00-04,35,71685,66
Female,00-04,36,71685,1116
Female,00-04,37,71685,1809
Female,00-04,38,71685,89
Female,00-04,39,71685,202
Female,00-04,40,71685,4280
Female,00-04,41,71685,1961
Female,00-04,42,71685,1168
Female,00-04,43,71685,176
Female,00-04,44,71685,76
Female,00-04,45,71685,289
Female,00-04,46,71685,3312
Female,00-04,47,71685,514
Female,00-04,48,71685,58
Female,00-04,49,71685,926
Female,00-04,50,71685,59
Female,00-04,51,71685,790
Female,00-04,52,71685,120
Female,00-04,53,71685,1731
Female,00-04,54,71685,206
Female,00-04,55,71685,398
Female,00-04,56,71685,116
Female,00-04,57,71685,281
Female,00-04,58,71685,753
Female,00-04,59,71685,62
Female,00-04,60,71685,189
Female,00-04,61,71685,644
Female,00-04,62,71685,2538
Female,00-04,63,71685,192
Female,00-04,64,71685,3872
Female,00-04,65,71685,4659
Female,00-04,66,71685,1663
Female,00-04,67,71685,1210
Female,00-04,68,71685,3919
Female,00-04,69,71685,187
Female,00-04,70,71685,459
Female,00-04,71,71685,1214
Female,00-04,72,71685,132
Female,00-04,73,71685,6827
Female,00-04,74,71685,1192
Female,00-04,75,71685,213
Female,00-04,76,71685,347
Female,00-04,77,71685,387
Female,00-04,78,71685,468
Female,00-04,79,71685,856
Female,00-04,80,71685,768
Female,00-04,81,71685,82
Female,00-04,82,71685,4514
Female,00-04,83,71685,5689
Female,00-04,84,71685,44
Female,00-04,85,71685,14709
Female,00-04,86,71685,251
Female,00-04,87,71685,552
Female,00-04,88,71685,1485
Female,00-04,89,71685,766
Female,00-04,90,71685,615
Female,00-04,91,71685,3745
Female,00-04,92,71685,1570
Female,00-04,93,71685,310
Female,00-04,94,71685,83
Female,00-04,95,71685,4600
Female,00-04,96,71685,174
Female,00-04,97,71685,516
Female,00-04,98,71685,94
Female,00-04,99,71685,57
Female,00-04,100,71685,369
Female,10-14,1,247714,2318
Female,10-14,2,247714,70837
Female,10-14,3,247714,570
Female,10-14,4,247714,5323
Female,10-14,5,247714,246
Female,10-14,6,247714,4053
Female,10-14,7,247714,7225
Female,10-14,8,247714,471
Female,10-14,9,247714,1005
Female,10-14,10,247714,1577
Female,10-14,11,247714,525
Female,10-14,12,247714,2169
Female,10-14,13,247714,737
Female,10-14,14,247714,2722
Female,10-14,15,247714,8737
Female,10-14,16,247714,1269
Female,10-14,17,247714,204
Female,10-14,18,247714,1293
Female,10-14,19,247714,2246
Female,10-14,20,247714,332
Female,10-14,21,247714,2013
Female,10-14,22,247714,1450
Female,10-14,23,247714,12282
Female,10-14,24,247714,1250
Female,10-14,25,247714,7772
Female,10-14,26,247714,2883
Female,10-14,27,247714,1792
Female,10-14,28,247714,660
Female,10-14,29,247714,17336
Female,10-14,30,247714,749
Female,10-14,31,247714,2544
Female,10-14,32,247714,560
Female,10-14,33,247714,3414
Female,10-14,34,247714,300
Female,10-14,35,247714,762
Female,10-14,36,247714,1369
Female,10-14,37,247714,3466
Female,10-14,38,247714,358
Female,10-14,39,247714,621
Female,10-14,40,247714,7894
Female,10-14,41,247714,2219
Female,10-14,42,247714,2604
Female,10-14,43,247714,2579
Female,10-14,44,247714,477
Female,10-14,45,247714,715
Female,10-14,46,247714,3666
Female,10-14,47,247714,1601
Female,10-14,48,247714,1707
Female,10-14,49,247714,9446
Female,10-14,50,247714,884
Female,10-14,51,247714,3619
Female,10-14,52,247714,422
Female,10-14,53,247714,1470
Female,10-14,54,247714,552
Female,10-14,55,247714,1090
Female,10-14,56,247714,465
Female,10-14,57,247714,2074
Female,10-14,58,247714,4751
Female,10-14,59,247714,723
Female,10-14,60,247714,1284
Female,10-14,61,247714,3333
Female,10-14,62,247714,4901
Female,10-14,63,247714,348
Female,10-14,64,247714,6433
Female,10-14,65,247714,4068
Female,10-14,66,247714,752
Female,10-14,67,247714,6680
Female,10-14,68,247714,17503
