gender,age_group,patient,patient-coadmin,patient-inter,patient-inter-major,patient-inter-moderate,patient-inter-minor,patient-inter-none
Female,00-04,5248.333333333338,4092.6666666666706,17.0,2.0,15.0,0.0,0.0
Female,05-09,2945.666666666667,1979.5,10.0,0.0,10.0,0.0,0.0
Female,10-14,2839.166666666666,1879.0,9.5,3.0,7.5,0.0,1.0
Female,15-19,5370.1666666666715,3994.166666666668,145.33333333333334,25.0,121.33333333333334,1.0,16.0
Female,20-24,6090.500000000003,4479.166666666671,167.33333333333334,47.0,123.33333333333331,2.0,12.0
Female,25-29,5584.833333333349,4178.333333333335,244.3333333333333,80.16666666666666,179.16666666666663,2.0,27.0
Female,30-34,5483.500000000021,4016.333333333344,398.6666666666666,123.16666666666666,303.50000000000006,4.0,35.0
Female,35-39,5424.000000000041,4106.833333333356,563.333333333333,210.50000000000009,410.1666666666665,2.0,70.0
Female,40-44,5762.166666666687,4426.333333333365,836.0000000000003,315.50000000000006,622.4999999999994,11.0,80.5
Female,45-49,6321.333333333271,5044.3333333333885,1145.0000000000027,454.49999999999983,898.6666666666678,22.0,123.0
Female,50-54,6389.833333333217,5279.666666666675,1449.8333333333303,636.5000000000006,1105.8333333333355,26.0,141.0
Female,55-59,5456.666666666662,4668.500000000074,1410.3333333333312,631.8333333333334,1091.5000000000014,24.83333333333333,133.0
Female,60-64,4782.500000000108,4234.000000000092,1437.166666666664,648.3333333333328,1124.5000000000025,29.666666666666657,140.5
Female,65-69,3531.1666666667406,3175.833333333372,1144.5000000000016,550.9999999999993,901.0000000000017,24.5,101.66666666666666
Female,70-74,2597.833333333325,2376.499999999973,941.8333333333368,428.9999999999994,745.6666666666682,47.16666666666666,90.16666666666666
Female,75-79,1968.9999999999732,1770.8333333333178,740.1666666666674,341.49999999999983,581.3333333333328,40.333333333333336,63.50000000000001
Female,80-84,1302.5000000000007,1170.6666666666722,456.1666666666664,228.66666666666669,351.33333333333337,25.0,42.16666666666666
Female,85-89,704.0,629.6666666666657,229.16666666666669,109.83333333333331,165.83333333333334,12.0,24.0
Female,90+,301.8333333333337,261.66666666666697,92.33333333333334,40.49999999999999,65.83333333333334,7.499999999999999,5.5
Male,00-04,5399.666666666673,4208.666666666669,10.0,4.0,6.0,0.0,0.0
Male,05-09,3255.333333333333,2174.1666666666665,5.0,1.0,1.5,0.0,2.5
Male,10-14,2932.499999999996,1792.833333333333,19.0,6.5,9.5,0.0,4.5
Male,15-19,3751.833333333333,2482.999999999999,47.0,14.5,36.0,0.0,2.0
Male,20-24,4233.333333333334,2873.333333333333,97.5,18.833333333333336,82.66666666666666,1.0,9.0
Male,25-29,3956.9999999999977,2682.8333333333344,107.00000000000004,23.666666666666664,89.83333333333334,1.5,5.0
Male,30-34,3722.8333333333294,2550.6666666666674,202.66666666666663,49.5,165.16666666666666,2.5,13.5
Male,35-39,3382.6666666666633,2354.833333333329,211.00000000000009,72.16666666666666,173.50000000000009,6.0,10.5
Male,40-44,3593.1666666666706,2554.666666666661,309.83333333333354,106.83333333333334,244.50000000000014,10.0,20.0
Male,45-49,4044.166666666701,3065.9999999999945,465.3333333333329,192.16666666666663,339.50000000000017,12.666666666666664,33.5
Male,50-54,4086.5000000000487,3163.6666666666765,599.3333333333326,248.83333333333337,446.33333333333314,20.833333333333336,52.0
Male,55-59,3580.8333333333617,2887.9999999999927,667.3333333333331,281.50000000000006,507.4999999999994,34.5,59.0
Male,60-64,3188.500000000025,2705.4999999999936,710.5000000000003,307.33333333333337,536.4999999999993,31.5,71.5
Male,65-69,2355.833333333307,2059.333333333312,658.3333333333334,308.99999999999994,485.4999999999994,35.0,66.0
Male,70-74,1630.3333333333205,1429.666666666663,480.1666666666661,258.3333333333336,349.83333333333326,35.833333333333336,38.33333333333333
Male,75-79,1216.1666666666724,1092.0000000000052,346.83333333333314,185.5000000000001,252.50000000000026,23.83333333333333,26.666666666666664
Male,80-84,621.1666666666657,571.1666666666656,198.00000000000009,110.33333333333331,129.50000000000003,19.33333333333333,14.0
Male,85-89,314.0000000000003,266.16666666666697,87.49999999999999,48.83333333333334,56.16666666666667,4.0,9.0
Male,90+,128.1666666666666,106.49999999999993,36.66666666666666,15.166666666666668,23.0,6.5,4.0
