age_group,patient-coadmin-2-drugs,patient-coadmin-3-drugs,patient-coadmin-4-drugs,patient-coadmin-5-drugs,patient-coadmin-6-drugs,patient-coadmin-7-drugs,patient-coadmin-8-drugs,patient-coadmin-9-drugs,patient-coadmin-10-drugs
00-04,8354,5972,4393,3193,2310,1701,1227,882,603
05-09,4246,2545,1578,965,600,338,216,136,85
10-14,3739,1988,1162,675,374,213,130,76,41
15-19,6589,3960,2598,1679,1083,712,448,287,189
20-24,7506,4633,3035,1985,1333,897,580,383,245
25-29,7003,4250,2803,1915,1307,883,630,446,295
30-34,6735,4247,2977,2095,1428,987,717,505,352
35-39,6747,4449,3189,2235,1604,1175,844,615,465
40-44,7360,5010,3722,2723,1992,1451,1101,826,614
45-49,8658,6211,4789,3657,2724,2024,1536,1135,852
50-54,9092,6871,5368,4161,3156,2467,1918,1468,1094
55-59,8298,6595,5406,4276,3343,2606,2024,1545,1172
60-64,7732,6324,5350,4409,3537,2800,2212,1678,1307
65-69,5941,5091,4420,3689,2992,2391,1894,1477,1104
70-74,4326,3739,3267,2771,2317,1887,1527,1205,908
75-79,3246,2813,2501,2136,1820,1489,1192,933,705
80-84,1990,1756,1561,1345,1133,922,730,587,464
85-89,1015,898,791,667,558,456,353,262,184
90+,398,346,305,255,204,171,140,105,76
