gender,age_group,patient,patient-coadmin,patient-inter,patient-inter-major,patient-inter-moderate,patient-inter-minor,patient-inter-none
Female,00-04,14296.83333333346,7423.499999999998,174.16666666666669,66.66666666666666,149.0,11.0,5.0
Female,05-09,8182.333333333387,4854.999999999994,112.33333333333334,30.0,98.0,1.0,6.0
Female,10-14,7352.666666666732,4010.8333333333253,162.83333333333334,38.833333333333336,135.83333333333331,3.0,4.0
Female,15-19,9379.666666666715,6808.0000000000355,413.83333333333337,83.83333333333334,359.5,7.0,30.0
Female,20-24,11873.166666666639,9561.000000000024,838.3333333333334,194.5,725.5,22.0,53.33333333333333
Female,25-29,13790.833333333116,11195.8333333333,1171.3333333333335,256.6666666666667,1024.0,24.5,70.33333333333334
Female,30-34,12049.333333333157,9812.49999999998,1316.5,326.0,1135.1666666666667,41.83333333333333,69.0
Female,35-39,10376.50000000001,8386.500000000044,1289.833333333333,372.0000000000001,1087.3333333333333,55.33333333333333,75.83333333333334
Female,40-44,8435.833333333449,6967.666666666751,1307.166666666667,491.0,1033.1666666666665,72.83333333333333,82.5
Female,45-49,8817.000000000093,7359.166666666762,1495.5000000000007,605.1666666666667,1163.833333333333,102.33333333333334,83.0
Female,50-54,9205.000000000011,7694.333333333396,1707.8333333333348,761.3333333333331,1334.3333333333335,139.66666666666666,90.83333333333334
Female,55-59,9640.999999999882,8129.333333333365,1985.5000000000016,952.6666666666662,1504.6666666666677,163.50000000000003,122.00000000000001
Female,60-64,9078.499999999829,7742.000000000032,2185.8333333333335,993.1666666666666,1755.333333333333,210.83333333333331,114.16666666666666
Female,65-69,7419.999999999957,6521.333333333396,2037.1666666666665,891.9999999999998,1668.3333333333344,228.16666666666666,124.0
Female,70-74,5169.3333333334685,4554.666666666703,1576.8333333333344,693.8333333333333,1281.666666666667,213.66666666666666,78.5
Female,75-79,3740.1666666666815,3319.8333333333303,1271.3333333333342,581.666666666667,1064.333333333334,192.83333333333331,67.0
Female,80-84,2736.3333333333044,2444.6666666666592,954.1666666666667,393.8333333333334,804.9999999999998,158.0,51.0
Female,85-89,1891.999999999995,1708.0000000000027,741.5000000000001,301.1666666666666,633.0000000000001,160.5,43.5
Female,90+,1349.5000000000052,1205.8333333333353,537.0,200.66666666666669,471.99999999999994,96.0,26.0
Male,00-04,16176.333333333467,10833.00000000002,243.83333333333334,92.0,206.0,17.0,11.333333333333334
Male,05-09,9014.500000000053,5538.166666666662,114.33333333333333,31.0,99.83333333333334,3.0,6.0
Male,10-14,7808.333333333408,4421.999999999996,191.16666666666666,46.5,161.66666666666666,5.5,7.0
Male,15-19,6627.0000000000255,3886.166666666659,234.0,72.5,192.5,6.0,15.0
Male,20-24,6307.666666666677,4305.999999999996,245.0,66.0,206.33333333333334,11.5,22.166666666666668
Male,25-29,7235.833333333384,4905.33333333333,364.8333333333333,117.0,276.5,23.0,35.833333333333336
Male,30-34,6976.00000000005,4929.500000000005,448.66666666666663,163.16666666666669,337.6666666666667,18.0,36.5
Male,35-39,6423.500000000053,4810.666666666665,537.3333333333335,211.5,415.0,34.83333333333333,32.0
Male,40-44,5996.000000000051,4627.166666666671,692.6666666666667,304.33333333333337,528.3333333333333,48.66666666666667,52.5
Male,45-49,6409.000000000094,5118.333333333353,961.1666666666662,418.5,723.3333333333335,84.5,88.16666666666669
Male,50-54,6995.833333333403,5686.6666666667115,1387.8333333333333,650.3333333333334,1089.6666666666665,125.83333333333333,87.33333333333331
Male,55-59,7587.666666666635,6337.000000000064,1771.1666666666665,793.0,1392.6666666666665,146.66666666666666,114.0
Male,60-64,6913.6666666666815,5815.500000000084,1837.5,834.333333333333,1492.8333333333344,191.5,120.33333333333334
Male,65-69,5545.166666666854,4831.833333333386,1609.6666666666674,702.6666666666664,1324.1666666666674,151.5,102.16666666666667
Male,70-74,3857.000000000046,3372.6666666666692,1194.500000000001,541.1666666666665,963.1666666666667,147.0,75.33333333333333
Male,75-79,2649.166666666626,2347.6666666666524,903.8333333333335,399.16666666666663,765.1666666666665,128.0,45.666666666666664
Male,80-84,1678.6666666666677,1499.16666666667,650.4999999999998,278.66666666666663,537.1666666666665,113.0,44.5
Male,85-89,1037.1666666666697,936.4999999999998,413.66666666666674,150.0,356.16666666666674,70.0,29.0
Male,90+,555.8333333333328,483.99999999999994,206.66666666666669,70.66666666666667,175.8333333333333,39.5,10.5
