age_group,patient,patient-coadmin,patient-inter,patient-inter-major,patient-inter-moderate,patient-inter-minor,patient-inter-none
00-04,31424,18566,422,160,358,28,17
05-09,18943,10978,235,63,205,4,12
10-14,16704,8995,364,88,306,9,11
15-19,17586,11412,662,160,565,14,45
20-24,20139,14969,1102,266,946,34,78
25-29,23285,17413,1559,378,1314,49,111
30-34,21250,16019,1801,500,1497,63,110
35-39,18918,14420,1884,603,1537,94,110
40-44,16530,12845,2081,822,1608,127,137
45-49,17519,13878,2573,1063,1958,194,175
50-54,18889,15085,3262,1473,2528,275,185
55-59,20300,16424,3954,1817,3025,320,246
60-64,19011,15524,4236,1901,3390,416,243
65-69,15587,13064,3855,1665,3130,397,229
70-74,10991,9236,2945,1294,2362,374,157
75-79,7732,6561,2305,1024,1917,329,115
80-84,5333,4558,1701,705,1410,277,98
85-89,3497,3025,1221,469,1038,234,75
90+,2100,1820,767,274,666,136,37
