age_group,patient,patient-coadmin,patient-inter,patient-inter-major,patient-inter-moderate,patient-inter-minor,patient-inter-none
00-04,26022,15061,317,118,266,19,12
05-09,15689,8987,180,52,158,3,6
10-14,13874,7291,288,78,239,8,8
15-19,14534,9290,502,123,434,13,33
20-24,16756,12349,844,198,734,25,58
25-29,19291,14266,1214,296,1030,37,84
30-34,17600,13059,1406,389,1190,54,85
35-39,15848,11827,1472,472,1222,86,82
40-44,14052,10782,1671,632,1336,106,110
45-49,15028,11748,2084,850,1641,152,135
50-54,16440,12915,2667,1185,2172,218,140
55-59,17611,14096,3201,1452,2577,255,186
60-64,16484,13233,3424,1521,2865,336,196
65-69,13492,11154,3106,1330,2612,327,171
70-74,9498,7856,2372,1019,2025,284,117
75-79,6684,5606,1856,832,1601,255,79
80-84,4650,3914,1363,564,1180,224,76
85-89,3075,2608,984,368,866,185,55
90+,1856,1584,624,226,567,109,28
