gender,age_group,patient-J44
Female,00-04,15
Female,05-09,6
Female,10-14,4
Female,15-19,8
Female,20-24,13
Female,25-29,22
Female,30-34,59
Female,35-39,110
Female,40-44,241
Female,45-49,476
Female,50-54,865
Female,55-59,1305
Female,60-64,1386
Female,65-69,1211
Female,70-74,906
Female,75-79,731
Female,80-84,510
Female,85-89,331
Female,90+,200
Male,00-04,25
Male,05-09,6
Male,10-14,5
Male,15-19,6
Male,20-24,9
Male,25-29,14
Male,30-34,21
Male,35-39,49
Male,40-44,110
Male,45-49,293
Male,50-54,628
Male,55-59,950
Male,60-64,1016
Male,65-69,834
Male,70-74,691
Male,75-79,518
Male,80-84,309
Male,85-89,173
Male,90+,100
