,id_drug,coadmin,inter,patient,patient-inter,P(inter),P(patient-inter)
0,DB00002,329,0,32,0,0.0,0.0
1,DB00003,2493,0,125,0,0.0,0.0
2,DB00005,871,0,194,0,0.0,0.0
3,DB00006,4801,0,349,0,0.0,0.0
4,DB00007,1155,0,224,0,0.0,0.0
5,DB00008,4,0,2,0,0.0,0.0
6,DB00009,9324,16,839,16,0.001716001716001716,0.01907032181168057
7,DB00012,16878,0,908,0,0.0,0.0
8,DB00014,19,0,5,0,0.0,0.0
9,DB00016,2848,0,235,0,0.0,0.0
10,DB00017,1003,0,69,0,0.0,0.0
11,DB00019,2722,0,283,0,0.0,0.0
12,DB00020,61,0,3,0,0.0,0.0
13,DB00021,367,0,35,0,0.0,0.0
14,DB00022,12,0,2,0,0.0,0.0
15,DB00024,3,0,2,0,0.0,0.0
16,DB00025,253,0,17,0,0.0,0.0
17,DB00026,19,0,4,0,0.0,0.0
18,DB00027,0,0,0,0,,
19,DB00028,0,0,0,0,,
20,DB00030,30269,0,1925,0,0.0,0.0
21,DB00033,27,0,2,0,0.0,0.0
22,DB00035,4232,0,300,0,0.0,0.0
23,DB00036,367,0,23,0,0.0,0.0
24,DB00040,10020,0,1340,0,0.0,0.0
25,DB00041,14,0,1,0,0.0,0.0
26,DB00042,0,0,0,0,,
27,DB00043,476,0,79,0,0.0,0.0
28,DB00046,181038,6093,9109,4557,0.033655917542173466,0.5002744538368646
29,DB00047,108362,5921,6829,3548,0.05464092578579207,0.5195489822814467
30,DB00048,0,0,0,0,,
31,DB00049,421,0,33,0,0.0,0.0
32,DB00051,1725,0,355,0,0.0,0.0
33,DB00052,252,0,41,0,0.0,0.0
34,DB00054,195,0,12,0,0.0,0.0
35,DB00056,18,0,2,0,0.0,0.0
36,DB00058,26,0,5,0,0.0,0.0
37,DB00059,266,0,21,0,0.0,0.0
38,DB00060,126,0,42,0,0.0,0.0
39,DB00062,61429,0,2912,0,0.0,0.0
40,DB00063,1774,0,127,0,0.0,0.0
41,DB00065,1113,0,223,0,0.0,0.0
42,DB00066,77,0,16,0,0.0,0.0
43,DB00067,17110,0,976,0,0.0,0.0
44,DB00068,67,0,12,0,0.0,0.0
45,DB00070,1312,0,172,0,0.0,0.0
46,DB00072,986,0,91,0,0.0,0.0
47,DB00073,3257,0,252,0,0.0,0.0
48,DB00074,628,0,26,0,0.0,0.0
49,DB00076,24,0,2,0,0.0,0.0
50,DB00080,2596,0,131,0,0.0,0.0
51,DB00083,1171,0,156,0,0.0,0.0
52,DB00085,10972,0,546,0,0.0,0.0
53,DB00087,150,0,12,0,0.0,0.0
54,DB00091,2420,219,112,81,0.09049586776859504,0.7232142857142857
55,DB00098,4969,0,132,0,0.0,0.0
56,DB00099,4150,0,274,0,0.0,0.0
57,DB00100,10,0,1,0,0.0,0.0
58,DB00102,38,0,2,0,0.0,0.0
59,DB00103,10,0,3,0,0.0,0.0
60,DB00104,3876,1,250,1,0.00025799793601651185,0.004
61,DB00107,51561,1142,6900,1072,0.022148523108551036,0.15536231884057972
62,DB00108,59,0,10,0,0.0,0.0
63,DB00110,187,0,55,0,0.0,0.0
64,DB00112,1076,0,111,0,0.0,0.0
65,DB00115,66992,0,6585,0,0.0,0.0
66,DB00121,7248,0,1371,0,0.0,0.0
67,DB00125,290,0,34,0,0.0,0.0
68,DB00126,32667,0,2974,0,0.0,0.0
69,DB00130,233,0,20,0,0.0,0.0
70,DB00135,37,0,5,0,0.0,0.0
71,DB00136,14580,0,837,0,0.0,0.0
72,DB00140,988,0,152,0,0.0,0.0
73,DB00145,16,0,3,0,0.0,0.0
74,DB00151,44,0,5,0,0.0,0.0
75,DB00152,61313,0,3365,0,0.0,0.0
76,DB00153,43690,0,4539,0,0.0,0.0
77,DB00155,90,0,8,0,0.0,0.0
78,DB00158,74495,114,5192,104,0.0015303040472514934,0.020030816640986132
79,DB00159,417,0,68,0,0.0,0.0
80,DB00161,5,0,1,0,0.0,0.0
81,DB00162,2551,0,207,0,0.0,0.0
82,DB00163,7238,0,916,0,0.0,0.0
83,DB00165,6829,0,1190,0,0.0,0.0
84,DB00169,79129,0,8343,0,0.0,0.0
85,DB00175,43592,135,3910,135,0.0030968985134887136,0.034526854219948847
86,DB00176,621,36,95,26,0.057971014492753624,0.2736842105263158
87,DB00177,18090,41,2456,41,0.0022664455500276395,0.016693811074918567
88,DB00178,3749,32,478,32,0.008535609495865563,0.06694560669456066
89,DB00180,1773,0,291,0,0.0,0.0
90,DB00181,20147,0,1753,0,0.0,0.0
91,DB00182,11400,162,3240,161,0.014210526315789474,0.04969135802469136
92,DB00184,75400,0,5190,0,0.0,0.0
93,DB00185,648,0,55,0,0.0,0.0
94,DB00186,99015,163,10213,134,0.0016462152199161744,0.013120532654460003
95,DB00187,23258,1748,1475,1064,0.07515693524808668,0.7213559322033898
96,DB00188,837,0,60,0,0.0,0.0
97,DB00190,7553,0,630,0,0.0,0.0
98,DB00191,3069,58,931,57,0.018898664059954384,0.061224489795918366
99,DB00193,61500,556,7691,544,0.009040650406504066,0.07073202444415551
100,DB00195,11,0,1,0,0.0,0.0
101,DB00196,38785,1658,6540,1114,0.04274848523913884,0.17033639143730886
