gender,age_group,patient,patient-coadmin,patient-inter,patient-inter-major,patient-inter-moderate,patient-inter-minor,patient-inter-none
Female,00-04,12180,6111,133,49,112,7,4
Female,05-09,7451,4208,89,28,78,1,4
Female,10-14,6767,3480,136,39,112,3,3
Female,15-19,8616,5970,325,75,281,6,21
Female,20-24,11176,8664,658,146,575,15,41
Female,25-29,12844,10035,906,194,790,19,51
Female,30-34,11361,8792,1044,260,907,36,57
Female,35-39,9924,7584,1029,296,874,52,57
Female,40-44,8336,6545,1082,391,868,66,70
Female,45-49,8832,7026,1277,506,1006,77,64
Female,50-54,9463,7512,1474,643,1195,112,69
Female,55-59,9967,7977,1699,785,1347,136,87
Female,60-64,9386,7578,1864,832,1548,174,96
Female,65-69,7747,6427,1725,732,1452,196,92
Female,70-74,5460,4539,1356,585,1158,172,56
Female,75-79,3958,3341,1110,507,935,163,48
Female,80-84,2902,2445,817,330,709,129,43
Female,85-89,2000,1704,635,246,557,129,33
Female,90+,1318,1134,455,167,418,77,22
Male,00-04,13839,8948,184,69,154,12,8
Male,05-09,8237,4779,91,24,80,2,2
Male,10-14,7105,3810,152,39,127,5,5
Male,15-19,5915,3319,177,48,153,7,12
Male,20-24,5566,3677,186,52,159,10,17
Male,25-29,6432,4220,308,102,240,18,33
Male,30-34,6221,4257,362,129,283,18,28
Male,35-39,5913,4234,443,176,348,34,25
Male,40-44,5710,4232,588,241,467,40,40
Male,45-49,6192,4719,807,344,635,75,71
Male,50-54,6970,5397,1192,542,976,106,71
Male,55-59,7642,6118,1502,667,1230,119,99
Male,60-64,7096,5654,1560,689,1317,162,100
Male,65-69,5740,4724,1381,598,1160,131,79
Male,70-74,4037,3316,1015,433,866,112,61
Male,75-79,2725,2265,746,325,666,92,31
Male,80-84,1747,1468,546,234,471,95,33
Male,85-89,1074,903,349,122,309,56,22
Male,90+,536,448,169,59,149,32,6
